Episode,Total Reward,Fruits Collected,Survival Time
0,-10.5,0,6
1,-10.2,0,3
2,-10.3,0,4
3,-10.6,0,7
4,-10.2,0,3
5,-10.6,0,7
6,-10.0,0,1
7,-10.4,0,5
8,-10.7,0,8
9,-10.4,0,5
10,-10.0,0,1
11,-10.7,0,8
12,-10.3,0,4
13,-11.0,0,11
14,-10.3,0,4
15,-11.9,0,20
16,-11.0,0,11
17,-10.7,0,8
18,-10.0,0,1
19,-10.0,0,1
20,-10.9,0,10
21,-10.0,0,1
22,-10.0,0,1
23,-10.1,0,2
24,-10.8,0,9
25,-12.600000000000001,0,27
26,-11.5,0,16
27,-10.1,0,2
28,-10.4,0,5
29,-10.9,0,10
30,-11.700000000000001,0,18
31,-10.4,0,5
32,-10.5,0,6
33,-10.3,0,4
34,-10.4,0,5
35,-10.9,0,10
36,-10.7,0,8
37,-10.7,0,8
38,-10.6,0,7
39,-10.6,0,7
40,-10.1,0,2
41,-10.1,0,2
42,-12.600000000000001,0,27
43,-10.2,0,3
44,-11.1,0,12
45,-10.1,0,2
46,-10.0,0,1
47,-10.4,0,5
48,-10.4,0,5
49,-11.5,0,16
50,-10.5,0,6
51,89.80000000000001,1,3
52,-10.1,0,2
53,-10.1,0,2
54,-10.3,0,4
55,89.00000000000006,1,11
56,-11.0,0,11
57,-10.7,0,8
58,-10.6,0,7
59,89.20000000000005,1,9
60,-10.0,0,1
61,-10.4,0,5
62,-10.5,0,6
63,-10.1,0,2
64,-10.9,0,10
65,-10.1,0,2
66,-10.4,0,5
67,188.60000000000005,2,15
68,-11.6,0,17
69,-10.8,0,9
70,-10.9,0,10
71,-10.7,0,8
72,-10.7,0,8
73,-10.9,0,10
74,-10.0,0,1
75,-10.0,0,1
76,-10.4,0,5
77,-10.9,0,10
78,-10.5,0,6
79,-10.3,0,4
80,-10.4,0,5
81,-10.6,0,7
82,-10.9,0,10
83,-10.4,0,5
84,89.70000000000002,1,4
85,-10.8,0,9
86,-10.6,0,7
87,-10.9,0,10
88,-10.6,0,7
89,-11.2,0,13
