Episode,Total Reward,Fruits Collected,Survival Time
0,-10.0,0,1
1,-11.6,0,17
2,87.60000000000001,1,25
3,-13.000000000000002,0,31
4,-10.3,0,4
5,-10.3,0,4
6,-10.5,0,6
7,-10.2,0,3
8,88.7,1,14
9,-11.1,0,12
10,-11.5,0,16
11,-11.1,0,12
12,-10.2,0,3
13,-10.4,0,5
14,-12.100000000000001,0,22
15,-10.6,0,7
16,-10.7,0,8
17,-10.9,0,10
18,-10.7,0,8
19,-10.3,0,4
20,-10.9,0,10
21,-10.0,0,1
22,-11.1,0,12
23,-10.3,0,4
24,-11.4,0,15
25,-10.5,0,6
26,-10.8,0,9
27,-12.0,0,21
28,-10.2,0,3
29,-10.1,0,2
30,-10.0,0,1
31,-10.9,0,10
32,-10.7,0,8
33,-12.0,0,21
34,-10.1,0,2
35,-10.8,0,9
36,-11.5,0,16
37,-10.3,0,4
38,-10.8,0,9
39,88.9,1,12
40,-11.2,0,13
41,-12.3,0,24
42,-10.3,0,4
43,-10.2,0,3
44,-10.2,0,3
45,-10.7,0,8
46,-11.0,0,11
47,-10.9,0,10
48,-11.1,0,12
49,-10.7,0,8
50,-10.0,0,1
51,-10.0,0,1
52,-10.5,0,6
53,-11.0,0,11
54,-10.9,0,10
55,-11.4,0,15
56,-11.4,0,15
57,88.00000000000009,1,21
58,-11.1,0,12
59,-10.6,0,7
60,-10.8,0,9
61,-11.0,0,11
62,-10.3,0,4
63,-10.9,0,10
64,-10.6,0,7
65,-10.5,0,6
66,-10.7,0,8
67,-11.2,0,13
68,-10.3,0,4
69,-10.2,0,3
70,-10.6,0,7
71,-10.1,0,2
72,-10.1,0,2
73,-10.2,0,3
74,-10.4,0,5
75,88.80000000000004,1,13
76,-11.0,0,11
77,-12.0,0,21
78,-10.2,0,3
79,-10.4,0,5
80,-11.1,0,12
81,-10.3,0,4
82,-11.0,0,11
83,-10.6,0,7
84,-10.0,0,1
85,-10.4,0,5
86,-10.0,0,1
87,-10.1,0,2
88,-10.8,0,9
89,-10.5,0,6
90,-10.9,0,10
91,-10.3,0,4
92,-10.9,0,10
93,-10.3,0,4
94,-11.2,0,13
95,-10.2,0,3
96,-11.3,0,14
97,-10.3,0,4
98,-10.1,0,2
99,-10.8,0,9
100,-10.3,0,4
101,-11.6,0,17
102,-10.8,0,9
103,-10.1,0,2
104,-10.2,0,3
105,-10.1,0,2
106,-10.9,0,10
107,-11.2,0,13
108,-10.4,0,5
109,-10.0,0,1
110,-11.700000000000001,0,18
111,-10.3,0,4
112,-10.8,0,9
113,-11.3,0,14
114,-10.3,0,4
115,-10.0,0,1
116,-10.4,0,5
117,-10.3,0,4
118,-10.5,0,6
119,-10.6,0,7
120,-10.5,0,6
121,-10.6,0,7
122,-10.3,0,4
123,-10.3,0,4
124,-10.2,0,3
125,-11.0,0,11
126,-10.8,0,9
127,-12.3,0,24
128,-10.4,0,5
129,-10.4,0,5
130,-11.1,0,12
131,-10.7,0,8
132,-10.8,0,9
133,-10.5,0,6
134,-10.6,0,7
135,-10.3,0,4
136,-10.6,0,7
137,-11.0,0,11
138,-10.5,0,6
139,-10.3,0,4
140,-10.4,0,5
141,-10.8,0,9
142,-10.9,0,10
143,88.80000000000001,1,13
144,-10.0,0,1
145,-11.3,0,14
146,-11.0,0,11
147,-10.9,0,10
148,89.20000000000002,1,9
149,-10.9,0,10
150,-10.8,0,9
151,-10.0,0,1
152,-10.5,0,6
153,-10.7,0,8
154,-10.6,0,7
155,-10.9,0,10
156,-10.1,0,2
157,-10.5,0,6
158,-10.2,0,3
159,-10.1,0,2
160,-10.4,0,5
161,-10.9,0,10
162,-10.2,0,3
163,-10.9,0,10
164,-10.6,0,7
165,-10.2,0,3
166,-11.1,0,12
167,-10.4,0,5
168,-10.0,0,1
169,-10.2,0,3
170,-10.4,0,5
171,-10.2,0,3
172,89.10000000000005,1,10
173,-10.0,0,1
174,-10.3,0,4
175,-10.8,0,9
176,-11.8,0,19
177,-10.5,0,6
178,-10.3,0,4
179,-10.0,0,1
180,-10.8,0,9
181,-11.0,0,11
182,-10.1,0,2
183,89.20000000000002,1,9
184,-10.7,0,8
185,-10.0,0,1
186,-10.5,0,6
187,-10.3,0,4
188,-10.5,0,6
189,-10.5,0,6
190,-10.0,0,1
191,-10.1,0,2
192,-10.7,0,8
193,-11.2,0,13
194,-10.2,0,3
195,-10.2,0,3
196,-10.2,0,3
197,-10.0,0,1
198,-10.3,0,4
199,-10.8,0,9
200,-10.8,0,9
201,-10.9,0,10
202,-10.5,0,6
203,-11.3,0,14
204,-10.5,0,6
205,-10.2,0,3
206,-10.4,0,5
207,-10.2,0,3
208,-10.7,0,8
209,-10.8,0,9
210,-10.0,0,1
211,-10.9,0,10
212,-10.1,0,2
213,-10.5,0,6
214,-11.5,0,16
215,-10.1,0,2
216,-10.5,0,6
217,-10.3,0,4
218,-10.1,0,2
219,-10.0,0,1
220,-10.7,0,8
221,-10.9,0,10
222,-10.4,0,5
223,-10.4,0,5
224,88.9,1,12
225,-10.1,0,2
226,-10.2,0,3
227,-10.2,0,3
228,-10.6,0,7
229,89.30000000000004,1,8
230,-10.5,0,6
231,-10.8,0,9
232,-10.6,0,7
233,-10.2,0,3
234,-10.0,0,1
235,-10.5,0,6
236,-10.3,0,4
237,-11.0,0,11
238,-10.0,0,1
239,-10.5,0,6
240,-10.7,0,8
241,-10.1,0,2
242,-10.8,0,9
243,-10.5,0,6
244,-10.2,0,3
245,-10.2,0,3
246,-10.5,0,6
247,-10.9,0,10
248,-10.6,0,7
249,-10.2,0,3
250,-10.9,0,10
251,89.4,1,7
252,-10.4,0,5
253,-11.9,0,20
254,-11.8,0,19
255,-10.9,0,10
256,-10.1,0,2
257,-10.6,0,7
258,-10.0,0,1
259,-10.7,0,8
260,-10.9,0,10
261,-11.1,0,12
262,-10.2,0,3
263,-10.0,0,1
264,-10.3,0,4
265,-10.7,0,8
266,-10.8,0,9
267,-11.0,0,11
